["123456780", 0]
["123456708", 1]
["123450786", 1]
["123405786", 2]
["120453786", 2]
["123456078", 2]
["123406758", 2]
["123460758", 3]
["123045786", 3]
["103425786", 3]
["103426758", 3]
["102453786", 3]
["123046758", 3]
["123056478", 3]
["123485706", 3]
["130426758", 4]
["123468750", 4]
["123745086", 4]
["013425786", 4]
["013426758", 4]
["123746058", 4]
["012453786", 4]
["120463758", 4]
["123485076", 4]
["123506478", 4]
["023146758", 4]
["123485760", 4]
["130425786", 4]
["152403786", 4]
["023145786", 4]
["023156478", 4]
["412053786", 5]
["413025786", 5]
["136420758", 5]
["135420786", 5]
["123085476", 5]
["103526478", 5]
["123468705", 5]
["413026758", 5]
["152430786", 5]
["123576408", 5]
["152483706", 5]
["102463758", 5]
["203146758", 5]
["203156478", 5]
["123480765", 5]
["203145786", 5]
["123746508", 5]
["123560478", 5]
["123745806", 5]
["152043786", 5]
["413206758", 6]
["230156478", 6]
["412753086", 6]
["243106758", 6]
["123468075", 6]
["012463758", 6]
["152436780", 6]
["120483765", 6]
["123705846", 6]
["052143786", 6]
["253106478", 6]
["152483760", 6]
["243105786", 6]
["230145786", 6]
["123576480", 6]
["152743086", 6]
["123408765", 6]
["136428750", 6]
["150432786", 6]
["162403758", 6]
["123746580", 6]
["120563478", 6]
["230146758", 6]
["123706548", 6]
["023185476", 6]
["413205786", 6]
["130526478", 6]
["135426780", 6]
["123745860", 6]
["123576048", 6]
["123805476", 6]
["135402786", 6]
["413726058", 6]
["123568470", 6]
["412503786", 6]
["152483076", 6]
["413725086", 6]
["013526478", 6]
["136402758", 6]
["413285706", 7]
["502143786", 7]
["152743806", 7]
["412753806", 7]
["102563478", 7]
["513026478", 7]
["243185706", 7]
["243160758", 7]
["136042758", 7]
["253176408", 7]
["402513786", 7]
["123068475", 7]
["135042786", 7]
["135482706", 7]
["123875406", 7]
["103825476", 7]
["152480763", 7]
["123568407", 7]
["236150478", 7]
["403216758", 7]
["235140786", 7]
["403215786", 7]
["162043758", 7]
["135426708", 7]
["105432786", 7]
["136428705", 7]
["412583706", 7]
["102483765", 7]
["152083476", 7]
["123076548", 7]
["106432758", 7]
["413250786", 7]
["243156708", 7]
["103726548", 7]
["203185476", 7]
["123760548", 7]
["412063758", 7]
["253016478", 7]
["243015786", 7]
["253160478", 7]
["123740586", 7]
["413256708", 7]
["413260758", 7]
["123750846", 7]
["152436708", 7]
["123850476", 7]
["413726508", 7]
["243150786", 7]
["162430758", 7]
["123048765", 7]
["123570486", 7]
["236140758", 7]
["136520478", 7]
["136452708", 7]
["103725846", 7]
["243016758", 7]
["103428765", 7]
["123740865", 7]
["412530786", 7]
["413725806", 7]
["162453708", 7]
["123075846", 7]
["152436078", 8]
["013825476", 8]
["236104758", 8]
["240163758", 8]
["542103786", 8]
["130825476", 8]
["123756840", 8]
["243715086", 8]
["120743586", 8]
["243185076", 8]
["123608475", 8]
["015432786", 8]
["150482763", 8]
["123507486", 8]
["123704865", 8]
["162743058", 8]
["162453780", 8]
["413285760", 8]
["160432758", 8]
["162453078", 8]
["412536780", 8]
["043216758", 8]
["123568047", 8]
["236148750", 8]
["013725846", 8]
["152406738", 8]
["240153786", 8]
["413725860", 8]
["052183476", 8]
["413256780", 8]
["135426078", 8]
["235104786", 8]
["123704586", 8]
["162503478", 8]
["123508467", 8]
["162438750", 8]
["062143758", 8]
["236158470", 8]
["412703856", 8]
["413726580", 8]
["235146780", 8]
["413268750", 8]
["120853476", 8]
["013428765", 8]
["120763548", 8]
["430215786", 8]
["012563478", 8]
["243168750", 8]
["250163478", 8]
["152703846", 8]
["013726548", 8]
["136408725", 8]
["230185476", 8]
["023176548", 8]
["023148765", 8]
["035142786", 8]
["135742086", 8]
["042513786", 8]
["152743860", 8]
["136742058", 8]
["136452780", 8]
["420513786", 8]
["253176048", 8]
["243185760", 8]
["253416078", 8]
["520143786", 8]
["253168470", 8]
["130726548", 8]
["123856470", 8]
["043215786", 8]
["036142758", 8]
["136528470", 8]
["410253786", 8]
["136428075", 8]
["243156780", 8]
["513426078", 8]
["123875460", 8]
["513206478", 8]
["123748065", 8]
["253176480", 8]
["412583760", 8]
["413285076", 8]
["412763058", 8]
["135482076", 8]
["120743865", 8]
["135482760", 8]
["012483765", 8]
["413705826", 8]
["413256078", 8]
["412603758", 8]
["410263758", 8]
["130725846", 8]
["410532786", 8]
["152408763", 8]
["023175846", 8]
["130428765", 8]
["412753860", 8]
["413706528", 8]
["152803476", 8]
["120753846", 8]
["412583076", 8]
["136502478", 8]
["120573486", 8]
["016432758", 8]
["182403765", 8]
["243156078", 8]
["136452078", 8]
["123875046", 8]
["123768540", 8]
["243716058", 8]
["023168475", 8]
["283105476", 8]
["430216758", 8]
["053216478", 8]
["135406728", 8]
["236105478", 8]
["236158407", 9]
["503216478", 9]
["103628475", 9]
["182463705", 9]
["412536708", 9]
["412730856", 9]
["206134758", 9]
["305142786", 9]
["162573408", 9]
["413085276", 9]
["713025846", 9]
["135082476", 9]
["123074865", 9]
["162743508", 9]
["152873406", 9]
["103527486", 9]
["123748605", 9]
["413280765", 9]
["412750863", 9]
["283175406", 9]
["135820476", 9]
["136572408", 9]
["123057486", 9]
["105482763", 9]
["136742508", 9]
["542130786", 9]
["182430765", 9]
["106532478", 9]
["413750826", 9]
["162450783", 9]
["152460738", 9]
["413056278", 9]
["413076528", 9]
["412083765", 9]
["123680475", 9]
["152740863", 9]
["136528407", 9]
["243056178", 9]
["423510786", 9]
["138420765", 9]
["401253786", 9]
["243715806", 9]
["152046738", 9]
["402713856", 9]
["103528467", 9]
["204163758", 9]
["123587406", 9]
["102753846", 9]
["602143758", 9]
["283150476", 9]
["102743865", 9]
["412653708", 9]
["162438705", 9]
["135720846", 9]
["412763508", 9]
["236148705", 9]
["203168475", 9]
["412083576", 9]
["136048725", 9]
["102573486", 9]
["135460728", 9]
["136028475", 9]
["102456738", 9]
["205134786", 9]
["102853476", 9]
["102763548", 9]
["105436728", 9]
["243085176", 9]
["513426708", 9]
["253416708", 9]
["413268705", 9]
["136450782", 9]
["103724586", 9]
["413720586", 9]
["135742806", 9]
["412580763", 9]
["152036478", 9]
["123764805", 9]
["542013786", 9]
["203148765", 9]
["123678405", 9]
["152468703", 9]
["123870465", 9]
["253168407", 9]
["206135478", 9]
["236175408", 9]
["236014758", 9]
["162530478", 9]
["435210786", 9]
["523140786", 9]
["412630758", 9]
["235184706", 9]
["243168705", 9]
["413760528", 9]
["235180476", 9]
["253076148", 9]
["136480725", 9]
["203175846", 9]
["123068547", 9]
["123074586", 9]
["136720548", 9]
["123756804", 9]
["413028765", 9]
["106438725", 9]
["403715826", 9]
["205163478", 9]
["162053478", 9]
["412073856", 9]
["152073846", 9]
["103724865", 9]
["436210758", 9]
["182043765", 9]
["283015476", 9]
["123784506", 9]
["502183476", 9]
["401532786", 9]
["306142758", 9]
["403716528", 9]
["102743586", 9]
["136052478", 9]
["415032786", 9]
["135480762", 9]
["235014786", 9]
["204153786", 9]
["236015478", 9]
["135026478", 9]
["253170486", 9]
["413075826", 9]
["243716508", 9]
["123856407", 9]
["512063478", 9]
["235146708", 9]
["402613758", 9]
["542183706", 9]
["152730846", 9]
["135046728", 9]
["243180765", 9]
["236154708", 9]
["152048763", 9]
["123058467", 9]
["416032758", 9]
["152830476", 9]
["413720865", 9]
["401263758", 9]
["123580467", 9]
["513276408", 9]
["813025476", 9]
["203176548", 9]
["513260478", 9]
["102458763", 9]
["713026548", 9]
["123768504", 9]
["713825046", 10]
["813205476", 10]
["413208765", 10]
["013724865", 10]
["015482763", 10]
["413768520", 10]
["123756084", 10]
["136728540", 10]
["253168047", 10]
["136572480", 10]
["243805176", 10]
["150462738", 10]
["410723586", 10]
["412653078", 10]
["042613758", 10]
["036215478", 10]
["410582763", 10]
["420613758", 10]
["416732058", 10]
["162408735", 10]
["013456278", 10]
["016438725", 10]
["023174586", 10]
["412508763", 10]
["023158467", 10]
["412783065", 10]
["135802476", 10]
["136208475", 10]
["436201758", 10]
["243706518", 10]
["713206548", 10]
["413875026", 10]
["160438725", 10]
["026135478", 10]
["123768054", 10]
["043715826", 10]
["283175046", 10]
["512603478", 10]
["130628475", 10]
["415732086", 10]
["412763580", 10]
["250173486", 10]
["152736840", 10]
["136572048", 10]
["135826470", 10]
["152873460", 10]
["412536078", 10]
["012483576", 10]
["235146078", 10]
["036152478", 10]
["410753826", 10]
["136528047", 10]
["230168475", 10]
["412736850", 10]
["412703568", 10]
["235184760", 10]
["420713856", 10]
["150832476", 10]
["185402763", 10]
["345102786", 10]
["052146738", 10]
["130456782", 10]
["235714086", 10]
["135408762", 10]
["412653780", 10]
["082143765", 10]
["230176548", 10]
["023157486", 10]
["123587460", 10]
["162703548", 10]
["152468730", 10]
["035126478", 10]
["120873465", 10]
["162743580", 10]
["436218750", 10]
["182435760", 10]
["410632758", 10]
["012458763", 10]
["042713856", 10]
["123764085", 10]
["136742580", 10]
["130527486", 10]
["412638750", 10]
["012743586", 10]
["283415076", 10]
["152468073", 10]
["350142786", 10]
["410752863", 10]
["582103476", 10]
["523104786", 10]
["130465728", 10]
["136508427", 10]
["162438075", 10]
["025163478", 10]
["542713086", 10]
["713526048", 10]
["024153786", 10]
["410763528", 10]
["130724865", 10]
["012753846", 10]
["138402765", 10]
["243506178", 10]
["012473856", 10]
["413805276", 10]
["236415078", 10]
["012573486", 10]
["413702865", 10]
["236148075", 10]
["041263758", 10]
["083215476", 10]
["435216780", 10]
["123806457", 10]
["041532786", 10]
["135742860", 10]
["142703865", 10]
["451203786", 10]
["243705816", 10]
["036214758", 10]
["530216478", 10]
["041253786", 10]
["620143758", 10]
["283156470", 10]
["243168075", 10]
["012853476", 10]
["542183076", 10]
["410723865", 10]
["412506738", 10]
["150436728", 10]
["423516780", 10]
["416302758", 10]
["520183476", 10]
